trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-98.25230595158641,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-162.72545668156047,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,10,-58.04703710559362,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,10,-111.0069034190859,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-82.4348641428892,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-205.3603252460906,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-125.06730058710744,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-163.24452257815125,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-101.50589268395919,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,4.530016370014628,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,11,-44.465239435534826,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-77.18260167762787,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-11.512316327046777,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-81.31802795880687,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,4.560082659550243,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-14.982666609147477,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,11,-35.902696466835785,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-88.08482827345114,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,13,-25.35786014907458,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-116.48928057850068,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,16,10.631303906540253,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-50.842927041738,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-2.4881893115403155,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-13.942008756564071,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-24.401798741382926,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-101.3893481853401,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-23.505082254611,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-36.501044150950015,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,14,1.0568373646695257,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,15.332882734477625,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
