trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,12,-70.18623305721925,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-41.274804795671365,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-40.72464558241897,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-104.26639823980472,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,0,-196.25574648893712,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-155.590479564805,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-31.919410134798248,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-108.29739618557348,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,9,-29.231434351964925,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-88.48588099808067,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,13,-4.378100239886795,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",30,8,-177.76933063985686,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 4}",1
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-218.50311992338584,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-196.30535262458343,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-216.57016327195186,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-186.98561246072293,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-115.92467862703619,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,5,-44.526394160605086,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,3,-74.44477895578098,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.001, 'e': 0.981179362242806}",30,0,-87.57816684393303,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",30,0,-182.82974421851935,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,0,-41.218958403174966,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-114.4298700979686,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",25,0,-139.1440088645805,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",20,0,-69.6416663040458,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-17.834810290360544,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-151.36835384432987,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",25,0,-118.34131993836934,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,7,-20.786742814683304,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",20,0,-12.481114964095049,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",25,0,-158.1089472333198,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
